Sexo,Masculino,Feminino
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
F,0,1
F,0,1
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
F,0,1
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
F,0,1
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
F,0,1
M,1,0
M,1,0
M,1,0
F,0,1
M,1,0
